modelo;ID;ITERACAO;PARAM_ATUAL;MPA_ATUAL;PARAM_MELHOR;MPA_MELHOR;Unnamed: 0
log_holts_simulated_annealing_1m;1;255;00111111101000011011010011010;1.9838099895632868e-05;00111111101000011011010011010;1.9838099895632868e-05;
log_holts_simulated_annealing_1m;2;74;10101111111111111100001111100;0.0139831036148501;10101111111111111100001111100;0.0139831036148501;
log_holts_simulated_annealing_1m;3;269;00111111001010011110011111101;8.701815313659919e-06;00111111001010011110011111101;8.701815313659919e-06;
log_holts_simulated_annealing_1m;4;61;00111110101101100000010010010;3.38564572097176e-05;00111110101101100000010010010;3.38564572097176e-05;
log_holts_simulated_annealing_1m;5;30;00111101111111111100010101011;0.0014423515929071;00111101111111111100010101011;0.0014423515929071;
log_holts_simulated_annealing_1m;6;230;10110101111000011100000110111;0.0001204472998179;10110101111000011100000110111;0.0001204472998179;
log_holts_simulated_annealing_1m;7;42;10110011001101101110101111111;1.7402641086932943e-05;10110011001101101110101111111;1.7402641086932943e-05;
log_holts_simulated_annealing_1m;8;316;00111111110111111100111011110;0.0002872261261349;00111111110111111100111011110;0.0002872261261349;
log_holts_simulated_annealing_1m;9;74;11111111111111111111111111110;0.0038283975047382;11111111111111111111111111110;0.0038283975047382;
log_holts_simulated_annealing_1m;10;80;11111111111111111100111111110;0.0038283975047382;11111111111111111100111111110;0.0038283975047382;
log_holts_simulated_annealing_1m;11;91;00111110111101011000011101010;7.122170300158357e-06;00111110111101011000011101010;7.122170300158357e-06;
log_holts_simulated_annealing_1m;12;43;00111101101111111101011100010;0.0014423515929071;00111101101111111101011100010;0.0014423515929071;
log_holts_simulated_annealing_1m;13;608;00111110101101100010011001101;3.38564572097176e-05;00111110101101100010011001101;3.38564572097176e-05;
log_holts_simulated_annealing_1m;14;99;00111110101011111111100000101;0.0004989885839167;00111110101011111111100000101;0.0004989885839167;
log_holts_simulated_annealing_1m;15;730;00111110001111111110010010010;0.0003260856059497;00111110001111111110010010010;0.0003260856059497;
log_holts_simulated_annealing_1m;16;82;11111111111111111100111111111;0.0038283975047382;11111111111111111100111111111;0.0038283975047382;
log_holts_simulated_annealing_1m;17;192;10110011011101110000101110010;3.5400627575722055e-05;10110011011101110000101110010;3.5400627575722055e-05;
log_holts_simulated_annealing_1m;18;14;10111110110100011100100101111;0.0025668468342857;10111110110100011100100101111;0.0025668468342857;
log_holts_simulated_annealing_1m;19;311;11111111101111111100111111111;0.0038283975047382;11111111101111111100111111111;0.0038283975047382;
log_holts_simulated_annealing_1m;20;50;10101111101111111100000101000;0.0139831036148501;10101111101111111100000101000;0.0139831036148501;
log_holts_simulated_annealing_1m;21;92;11111111101111111111111111111;0.0038283975047382;11111111101111111111111111111;0.0038283975047382;
log_holts_simulated_annealing_1m;22;68;00111110111101011011100000011;7.122170300158357e-06;00111110111101011011100000011;7.122170300158357e-06;
log_holts_simulated_annealing_1m;23;123;00111111111000010111110011010;2.202273767378898e-05;00111111111000010111110011010;2.202273767378898e-05;
log_holts_simulated_annealing_1m;24;110;11111111101111111111111111110;0.0038283975047382;11111111101111111111111111110;0.0038283975047382;
log_holts_simulated_annealing_6m;0;1;01011010000100111101011100000;0.1147295389335904;01011010000100111101011100000;0.1147295389335904;
log_holts_simulated_annealing_6m;1;151;10100000001111111100001001011;0.1127136069569375;10100000001111111100001001011;0.1127136069569375;
log_holts_simulated_annealing_6m;2;185;10100000001111111100110100001;0.1127136069569375;10100000001111111100110100001;0.1127136069569375;
log_holts_simulated_annealing_6m;3;202;10100000011111111100111100100;0.1127136069569375;10100000011111111100111100100;0.1127136069569375;
log_holts_simulated_annealing_6m;4;153;00000011001100000001111100110;0.1083035328909871;00000011001100000001111100110;0.1083035328909871;
log_holts_simulated_annealing_6m;5;919;00010001010001100101110011101;0.1074025560472593;00010001010001100101110011101;0.1074025560472593;
log_holts_simulated_annealing_6m;6;175;00000010010111010111010010101;0.1082619076124025;00000010010111010111010010101;0.1082619076124025;
log_holts_simulated_annealing_6m;7;83;00100000011111111001011011110;0.1171205018558963;00100000011111111001011011110;0.1171205018558963;
log_holts_simulated_annealing_6m;8;247;10010100001111111110101011111;0.107724172650609;10010100001111111110101011111;0.107724172650609;
log_holts_simulated_annealing_6m;9;264;10010100001111111100101011101;0.107724172650609;10010100001111111100101011101;0.107724172650609;
log_holts_simulated_annealing_6m;10;145;00000011011011010110101000001;0.1082764957249605;00000011011011010110101000001;0.1082764957249605;
log_holts_simulated_annealing_6m;11;121;00011000011111111001001010011;0.1115466048873528;00011000011111111001001010011;0.1115466048873528;
log_holts_simulated_annealing_6m;12;1;00011000110110011101010000100;0.1117622786236205;00011000110110011101010000100;0.1117622786236205;
log_holts_simulated_annealing_6m;13;298;10010100001111111100111000000;0.107724172650609;10010100001111111100111000000;0.107724172650609;
log_holts_simulated_annealing_6m;14;400;10010010001111111110100100000;0.106933788297497;10010010001111111110100100000;0.106933788297497;
log_holts_simulated_annealing_6m;15;262;00010100011111111111101001111;0.1089494021223151;00010100011111111111101001111;0.1089494021223151;
log_holts_simulated_annealing_6m;16;316;00011000001111111011010101110;0.1115466048873528;00011000001111111011010101110;0.1115466048873528;
log_holts_simulated_annealing_6m;17;76;10001111111111000010111111111;0.1085747029545014;10001111111111000010111111111;0.1085747029545014;
log_holts_simulated_annealing_6m;18;173;10100000011111111100010001010;0.1127136069569375;10100000011111111100010001010;0.1127136069569375;
log_holts_simulated_annealing_6m;19;533;10010010011111111110010000000;0.106933788297497;10010010011111111110010000000;0.106933788297497;
log_holts_simulated_annealing_6m;20;416;00100000001111111011100001000;0.1171205018558963;00100000001111111011100001000;0.1171205018558963;
log_holts_simulated_annealing_6m;21;402;10010001011111011110000100101;0.1065967054653865;10010001011111011110000100101;0.1065967054653865;
log_holts_simulated_annealing_6m;22;476;00100000010000000111101100000;0.1168929863283379;00100000010000000111101100000;0.1168929863283379;
log_holts_simulated_annealing_6m;23;513;00010100011111111101000101010;0.1089494021223151;00010100011111111101000101010;0.1089494021223151;
log_holts_simulated_annealing_6m;24;39;10010010011111111100100100110;0.106933788297497;10010010011111111100100100110;0.106933788297497;
log_sarimax_hill_climb_12m;0;97;00001000100110110111011101;0.1361720543668971;00001000100110110111011101;0.1361720543668971;
log_sarimax_hill_climb_12m;1;11;00001001000111000100111100;0.1190636126419901;00001001000111000100111100;0.1190636126419901;
log_sarimax_hill_climb_12m;2;96;01100001111011111101000111;0.1195933246933573;01100001111011111101000111;0.1195933246933573;
log_sarimax_hill_climb_12m;3;68;01110001000001100111001111;0.1183920760381124;01110001000001100111001111;0.1183920760381124;
log_sarimax_hill_climb_12m;4;45;01111000000011000010101000;0.1213499426090436;01111000000011000010101000;0.1213499426090436;
log_sarimax_hill_climb_12m;5;70;01110000100001010111000001;0.1257501163052789;01110000100001010111000001;0.1257501163052789;
log_sarimax_hill_climb_12m;6;100;01000000111011010011100000;0.1490375422715856;01000000111011010011100000;0.1490375422715856;
log_sarimax_hill_climb_12m;7;70;10000001111101101101011111;0.1174632845960485;10000001111101101101011111;0.1174632845960485;
log_sarimax_hill_climb_12m;8;98;10001000010000101001010001;0.1177669913389781;10001000010000101001010001;0.1177669913389781;
log_sarimax_hill_climb_12m;9;89;11111000010000111110001100;0.0991086573883021;11111000010000111110001100;0.0991086573883021;
log_sarimax_hill_climb_12m;10;8;00101000111011000111011001;0.1379778172557857;00101000111011000111011001;0.1379778172557857;
log_sarimax_hill_climb_12m;11;91;10000000000011100000001111;0.1143809733780652;10000000000011100000001111;0.1143809733780652;
