;0;1;2;3
411;F1;01110010001001000000110100;Before fitting;
412;F2;01110010001001000000110100;After fitting;3.1640023999999585
413;P1;01110010001001000000110100;Done;
414;P2;01110010001001000000110100;Done;
415;C;01110010011001000000110100;Creating SARIMAX;
416;F1;01110010011001000000110100;Before fitting;
417;F2;01110010011001000000110100;After fitting;3.183525999999972
418;P1;01110010011001000000110100;Done;
419;P2;01110010011001000000110100;Done;
420;C;01110010011001000000110100;Creating SARIMAX;
421;F1;01110010011001000000110100;Before fitting;
422;F2;01110010011001000000110100;After fitting;3.0732428000000027
423;P1;01110010011001000000110100;Done;
424;P2;01110010011001000000110100;Done;
425;C;01110010011001000000110100;Creating SARIMAX;
426;F1;01110010011001000000110100;Before fitting;
427;F2;01110010011001000000110100;After fitting;3.1079405000000406
428;P1;01110010011001000000110100;Done;
429;P2;01110010011001000000110100;Done;
430;C;01110010011000000000110100;Creating SARIMAX;
431;F1;01110010011000000000110100;Before fitting;
432;F2;01110010011000000000110100;After fitting;2.5800045000000296
433;P1;01110010011000000000110100;Done;
434;P2;01110010011000000000110100;Done;
435;C;01110010111001000000111100;Creating SARIMAX;
436;F1;01110010111001000000111100;Before fitting;
437;F2;01110010111001000000111100;After fitting;3.7656172000000083
438;P1;01110010111001000000111100;Done;
439;P2;01110010111001000000111100;Done;
440;C;11110011011000100000110100;Creating SARIMAX;
441;F1;11110011011000100000110100;Before fitting;
442;F2;11110011011000100000110100;After fitting;10.7061195
443;P1;11110011011000100000110100;Done;
444;P2;11110011011000100000110100;Done;
445;C;01110010001001000000110100;Creating SARIMAX;
446;F1;01110010001001000000110100;Before fitting;
447;F2;01110010001001000000110100;After fitting;3.1758470999999986
448;P1;01110010001001000000110100;Done;
449;P2;01110010001001000000110100;Done;
450;C;01110010001001000000110100;Creating SARIMAX;
451;F1;01110010001001000000110100;Before fitting;
452;F2;01110010001001000000110100;After fitting;3.067725400000029
453;P1;01110010001001000000110100;Done;
454;P2;01110010001001000000110100;Done;
455;C;01110100001001000000100100;Creating SARIMAX;
456;F1;01110100001001000000100100;Before fitting;
457;F2;01110100001001000000100100;After fitting;4.2383844000000295
458;P1;01110100001001000000100100;Done;
459;P2;01110100001001000000100100;Done;
460;C;01110011001001000000110100;Creating SARIMAX;
461;F1;01110011001001000000110100;Before fitting;
462;F2;01110011001001000000110100;After fitting;3.3428990000000454
463;P1;01110011001001000000110100;Done;
464;P2;01110011001001000000110100;Done;
465;C;01110010001001000000111100;Creating SARIMAX;
466;F1;01110010001001000000111100;Before fitting;
467;F2;01110010001001000000111100;After fitting;3.0913278999999534
468;P1;01110010001001000000111100;Done;
469;P2;01110010001001000000111100;Done;
470;C;01110010001001010000111100;Creating SARIMAX;
471;F1;01110010001001010000111100;Before fitting;
472;F2;01110010001001010000111100;After fitting;5.8868497000000275
473;P1;01110010001001010000111100;Done;
